cell_id,lat,lon,crop_type,label,NDVI_mean,NDVI_std,SAVI_mean,SAVI_std,GNDVI_mean,GNDVI_std,EVI_mean,EVI_std,SI_mean,SI_std,NDSI_mean,NDSI_std,BSI_mean,BSI_std,bands_count,temperature,humidity,pressure,windSpeed,precipitation,weather_seq
cell_1_1,30.9,75.8,0,0,0.08309357919285533,0.0740600261878212,0.12462929458537458,0.11107659331526132,0.042278916819976246,0.06355405113133346,2168973963.698914,234193508060.84668,0.08664443136030277,0.1485769846864229,0.12479093566411009,0.1867112799374406,0.03202615921696588,0.1115222410667927,6,28.0,60.0,1005.0,2.0,0.0,"[[25.0, 65.0, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [31.0, 55.0, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0]]"
cell_1_10,30.9,75.8,0,0,0.01830439584575753,0.014394872167444794,0.027453852870897483,0.021590073740906403,0.0542547245603936,0.03221932919207694,-29348237.66645739,7886401370.32657,-0.11441647044095309,0.03256549655613725,-0.06037145174311908,0.06023563744499866,-0.006166084737161802,0.021148649473563333,6,28.0,60.0,1005.0,2.0,0.0,"[[25.0, 65.0, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [31.0, 55.0, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0]]"
cell_1_100,30.9,75.8,0,0,0.1025328551918563,0.07046782732210824,0.15377934329991916,0.10568705658697758,0.042161105370928674,0.05806102804552105,1399697664.508772,162067996705.33945,0.18136760808827557,0.14730202247494298,0.21857699160635208,0.17896181217979207,0.09636614459729637,0.10894706352720755,6,28.0,60.0,1005.0,2.0,0.0,"[[25.0, 65.0, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [31.0, 55.0, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0]]"
cell_1_101,30.9,75.8,0,0,0.08968444208580995,0.06315597765641043,0.1345096541913736,0.09472084961541559,0.030951143501393386,0.05337566162884234,745965186.7171483,119671110145.40283,0.16852986293370079,0.14422025234444344,0.1959001410670075,0.1716175735673847,0.08207684311337331,0.1043202511168458,6,28.0,60.0,1005.0,2.0,0.0,"[[25.0, 65.0, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [31.0, 55.0, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0]]"
cell_1_102,30.9,75.8,0,0,0.09857336751241204,0.06454056580101583,0.14784204763290973,0.09679791313637126,0.045191708345720616,0.054929954560652666,1543620963.170131,165255545584.3773,0.15724502846222782,0.13412048548879094,0.19862575514215908,0.1599857748189807,0.08162781972702829,0.09514565209744313,6,28.0,60.0,1005.0,2.0,0.0,"[[25.0, 65.0, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [31.0, 55.0, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0]]"
cell_1_103,30.9,75.8,0,0,0.02126698817188905,0.049958246063504984,0.031896708965138555,0.07492734649377174,0.007889392194909866,0.021885938342831535,333068716.4730142,76617971195.56061,0.04710999660590665,0.10723149066787113,0.05429308269948754,0.12144121195129266,0.025929052873064504,0.06314038749676663,6,28.0,60.0,1005.0,2.0,0.0,"[[25.0, 65.0, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [31.0, 55.0, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0]]"
cell_1_104,30.9,75.8,0,0,0.0907565045883055,0.04181286149963595,0.136119607652129,0.06271053465356406,0.032464435691012906,0.03232631597144402,360848390.1658604,71424459150.11903,0.20221238390828283,0.11583782326891148,0.23214774885826428,0.12649913543692276,0.10419497377632878,0.07554158272957683,6,28.0,60.0,1005.0,2.0,0.0,"[[25.0, 65.0, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [31.0, 55.0, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0]]"
cell_1_105,30.9,75.8,0,0,0.10308611018126472,0.03255362966138958,0.15461156001381302,0.04882340781598301,0.04077159621253422,0.023845812787959893,366490582.1003411,71033687318.3075,0.23102221140730397,0.09663288261841398,0.2687480708902051,0.09960196841810931,0.12428539159371225,0.061544658543687965,6,28.0,60.0,1005.0,2.0,0.0,"[[25.0, 65.0, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [31.0, 55.0, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0]]"
cell_1_106,30.9,75.8,0,0,0.08229336309752305,0.033797591245535476,0.12342726049311112,0.050689647420755414,0.023909044418739693,0.024696880857206907,120757364.72995465,40809280210.28913,0.20136421988436226,0.10894250685270314,0.2235914259721695,0.11599911177932548,0.09953141219264135,0.06973388391838094,6,28.0,60.0,1005.0,2.0,0.0,"[[25.0, 65.0, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [31.0, 55.0, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0]]"
cell_1_107,30.9,75.8,0,0,0.09021670901794028,0.031481369530660476,0.13531055652093069,0.047215389652696164,0.02637809521710519,0.022920141648466005,155552688.07181063,41724286318.43915,0.23668411829867647,0.09072387167049158,0.2609633635629433,0.09538863360342963,0.12142939952953387,0.05931510449241851,6,28.0,60.0,1005.0,2.0,0.0,"[[25.0, 65.0, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [31.0, 55.0, 0.0, 2.0, 1005.0], [30.9, 55.17, 0.0, 2.0, 1005.0], [30.6, 55.67, 0.0, 2.0, 1005.0], [30.12, 56.46, 0.0, 2.0, 1005.0], [29.5, 57.5, 0.0, 2.0, 1005.0], [28.78, 58.71, 0.0, 2.0, 1005.0], [28.0, 60.0, 0.0, 2.0, 1005.0], [27.22, 61.29, 0.0, 2.0, 1005.0], [26.5, 62.5, 0.0, 2.0, 1005.0], [25.88, 63.54, 0.0, 2.0, 1005.0], [25.4, 64.33, 0.0, 2.0, 1005.0], [25.1, 64.83, 0.0, 2.0, 1005.0]]"
